cycle,range_bin,doppler_bin,output_hex
1102965000,14,31,001cffa2
1107245000,15,0,0001005d
1107255000,15,1,fffdffba
1107265000,15,2,ffecffff
1107275000,15,3,feefff84
1107285000,15,4,01050122
1107295000,15,5,0199feeb
1107305000,15,6,fdcc00b6
1107315000,15,7,00c7004c
1107325000,15,8,ffcdfeff
1107335000,15,9,025d01a3
1107345000,15,10,fa36fdba
1107355000,15,11,034002e9
1107365000,15,12,01ddfb72
1107375000,15,13,fde903d8
1107385000,15,14,00affe98
1107395000,15,15,0164ff0b
1107405000,15,16,fccd01b7
1107415000,15,17,040bfe0e
1107425000,15,18,fa80038f
1107435000,15,19,0179fc34
1107445000,15,20,01cb02ce
1107455000,15,21,feabfe25
1107465000,15,22,01540066
1107475000,15,23,ffcd0098
1107485000,15,24,fe95024d
1107495000,15,25,0257fce9
1107505000,15,26,fee20184
1107515000,15,27,00c0febf
1107525000,15,28,ff53011e
1107535000,15,29,002ffe7c
1107545000,15,30,fffd0180
1107555000,15,31,0008ff19
1111835000,16,0,ff960046
1111845000,16,1,003effb1
1111855000,16,2,ffc4ffba
1111865000,16,3,003700d4
1111875000,16,4,fedc010b
1111885000,16,5,036ffcfb
1111895000,16,6,fd55020c
1111905000,16,7,fefffffd
1111915000,16,8,012cfeb8
1111925000,16,9,ffa701bb
1111935000,16,10,0022fd14
1111945000,16,11,0252070f
1111955000,16,12,fde3f7e6
1111965000,16,13,00120368
1111975000,16,14,fe9cff7c
1111985000,16,15,048bfd55
1111995000,16,16,fafc04ee
1112005000,16,17,03cefe39
1112015000,16,18,fd6afe36
1112025000,16,19,fdbb021a
1112035000,16,20,037efec9
1112045000,16,21,ff790027
1112055000,16,22,fecf019c
1112065000,16,23,0149fc8d
1112075000,16,24,007a0684
1112085000,16,25,ff65fa6b
1112095000,16,26,00440208
1112105000,16,27,0020ff3f
1112115000,16,28,ff6bfffe
1112125000,16,29,0046ffde
1112135000,16,30,ffbc0098
1112145000,16,31,0081ff7d
1116425000,17,0,ffde006d
1116435000,17,1,0005ff70
1116445000,17,2,ff7100fa
1116455000,17,3,0168fe4e
1116465000,17,4,fded0253
1116475000,17,5,0267fd45
1116485000,17,6,ff9103c0
1116495000,17,7,fe7ffd0d
1116505000,17,8,0056feea
1116515000,17,9,0156039b
1116525000,17,10,fe2dfd5e
1116535000,17,11,014d0360
1116545000,17,12,0013faf2
1116555000,17,13,ffc0022f
1116565000,17,14,ff3800a3
1116575000,17,15,0133fd39
1116585000,17,16,002e029f
1116595000,17,17,fea3fe4c
1116605000,17,18,fe91037a
1116615000,17,19,01420070
1116625000,17,20,0067fb8f
1116635000,17,21,ff9b015d
1116645000,17,22,00fb02aa
1116655000,17,23,ffdffb71
1116665000,17,24,0036057a
1116675000,17,25,ff86fba9
1116685000,17,26,005d02ca
1116695000,17,27,ffe1fe3e
1116705000,17,28,ff5900a4
1116715000,17,29,00caffaf
1116725000,17,30,ffb8009f
1116735000,17,31,0027ff3d
1121015000,18,0,fff90044
1121025000,18,1,ffe8000d
1121035000,18,2,000cff68
1121045000,18,3,ffe300f5
1121055000,18,4,ffc600e8
1121065000,18,5,0228fd28
1121075000,18,6,fd9c0244
1121085000,18,7,0175fdc8
1121095000,18,8,fdab01e1
1121105000,18,9,030e00b9
1121115000,18,10,fc6efdcd
1121125000,18,11,03bf01ff
1121135000,18,12,fc87ff80
1121145000,18,13,011ffd5f
1121155000,18,14,0371022c
1121165000,18,15,fcfb0056
1121175000,18,16,0019ffde
1121185000,18,17,01e20129
1121195000,18,18,fb7cfcaa
1121205000,18,19,028902b1
1121215000,18,20,0036fd18
1121225000,18,21,00ce01c6
1121235000,18,22,fd7c028c
1121245000,18,23,0115fbb0
1121255000,18,24,01e3048d
1121265000,18,25,fe18fd01
1121275000,18,26,00a20141
1121285000,18,27,0069fecb
1121295000,18,28,ff650090
1121305000,18,29,ffab0053
1121315000,18,30,00e70014
1121325000,18,31,ffa7ff62
1125605000,19,0,ffd90015
1125615000,19,1,0008ffff
1125625000,19,2,ff8bffd2
1125635000,19,3,0163ffec
1125645000,19,4,fdb40108
1125655000,19,5,0342fe7a
1125665000,19,6,fdf500c6
1125675000,19,7,0078feea
1125685000,19,8,00190332
1125695000,19,9,fe2afd59
1125705000,19,10,022d00c7
1125715000,19,11,01aeffe3
1125725000,19,12,fac6fee5
1125735000,19,13,02deff17
1125745000,19,14,017efec5
1125755000,19,15,ff1205de
1125765000,19,16,fe7ffbfb
1125775000,19,17,ff640385
1125785000,19,18,0295fe0a
1125795000,19,19,fde7fef8
1125805000,19,20,fff60012
1125815000,19,21,031effe4
1125825000,19,22,fd7f01b8
1125835000,19,23,003afba6
1125845000,19,24,ffe70656
1125855000,19,25,fffafbc7
1125865000,19,26,00e301e9
1125875000,19,27,fee0fe8d
1125885000,19,28,00500181
1125895000,19,29,0032ff97
1125905000,19,30,0026ffa9
1125915000,19,31,0004fffe
1130195000,20,0,ffab0047
1130205000,20,1,0043ffba
1130215000,20,2,ff48001c
1130225000,20,3,0110ffd9
1130235000,20,4,fefb01b0
1130245000,20,5,028afc6e
1130255000,20,6,fd230240
1130265000,20,7,011bffa6
1130275000,20,8,ff6c0048
1130285000,20,9,001b0026
1130295000,20,10,feecfde9
1130305000,20,11,01070439
1130315000,20,12,015afc9d
1130325000,20,13,fd59ff31
1130335000,20,14,01980233
1130345000,20,15,0246ff60
1130355000,20,16,fc2b0007
1130365000,20,17,036d0314
1130375000,20,18,fc1efb3e
1130385000,20,19,00e8010b
1130395000,20,20,018d0072
1130405000,20,21,fe92ff50
1130415000,20,22,00610228
1130425000,20,23,002dfba8
1130435000,20,24,014a077a
1130445000,20,25,fe29fbd4
1130455000,20,26,00c2ffa1
1130465000,20,27,001dfff3
